time,mixture cell P,reference cell P,mixture cell T,reference cell T
1900-01-01 13:36:00.884527,8.295508,8.046026,55.652605,56.128473
1900-01-01 13:36:01.885311,8.318188,8.020106,55.654711,56.131253
1900-01-01 13:36:02.887356,8.292268,8.033066,55.653048,56.129591
1900-01-01 13:36:03.887690,8.308468,8.046026,55.657027,56.128172
1900-01-01 13:36:04.888895,8.311708,8.039546,55.662679,56.135846
1900-01-01 13:36:05.889063,8.289028,8.020106,55.665024,56.135268
1900-01-01 13:36:06.888667,8.311708,8.029826,55.664165,56.136433
1900-01-01 13:36:07.888666,8.295508,8.029826,55.661589,56.136106
1900-01-01 13:36:08.889391,8.292268,8.039546,55.661724,56.13669
1900-01-01 13:36:09.888873,8.285788,8.042786,55.653874,56.126369
1900-01-01 13:36:10.889779,8.308468,8.039546,55.650394,56.122665
1900-01-01 13:36:11.890821,8.305228,8.055746,55.6481,56.123519
1900-01-01 13:36:12.891533,8.298748,8.049266,55.649523,56.125167
1900-01-01 13:36:13.891489,8.321428,8.062226,55.648302,56.122597
1900-01-01 13:36:14.891790,8.285788,8.042786,55.659602,56.131645
1900-01-01 13:36:15.892841,8.292268,8.042786,55.660777,56.137768
1900-01-01 13:36:16.893786,8.282548,8.042786,55.666496,56.140562
1900-01-01 13:36:17.893941,8.301988,8.068706,55.668169,56.141785
1900-01-01 13:36:18.894000,8.285788,8.046026,55.671365,56.14453
1900-01-01 13:36:19.894271,8.298748,8.042786,55.6672,56.143739
1900-01-01 13:36:20.894155,8.298748,8.020106,55.665176,56.139691
1900-01-01 13:36:21.894151,8.308468,8.029826,55.668762,56.140129
1900-01-01 13:36:22.894228,8.295508,8.046026,55.665413,56.140828
1900-01-01 13:36:23.895431,8.311708,8.046026,55.667382,56.139423
1900-01-01 13:36:24.896335,8.292268,8.023346,55.667194,56.138561
1900-01-01 13:36:25.896323,8.292268,8.033066,55.661033,56.138023
1900-01-01 13:36:26.898019,8.292268,8.033066,55.663229,56.136846
1900-01-01 13:36:27.898388,8.301988,8.055746,55.662051,56.138142
1900-01-01 13:36:28.898403,8.321428,8.042786,55.663327,56.134246
1900-01-01 13:36:29.898436,8.308468,8.033066,55.663994,56.136486
1900-01-01 13:36:30.898769,8.305228,8.042786,55.662521,56.137937
1900-01-01 13:36:31.898569,8.314948,8.042786,55.663934,56.137101
1900-01-01 13:36:32.898259,8.318188,8.026586,55.661857,56.13435
1900-01-01 13:36:33.898449,8.314948,8.033066,55.663272,56.133965
1900-01-01 13:36:34.898514,8.301988,8.065466,55.664341,56.132336
1900-01-01 13:36:35.898551,8.314948,8.026586,55.65734,56.130509
1900-01-01 13:36:36.898666,8.285788,8.058986,55.656927,56.126498
1900-01-01 13:36:37.898609,8.311708,8.052506,55.64991,56.121281
1900-01-01 13:36:38.898664,8.289028,8.020106,55.65423,56.127175
1900-01-01 13:36:39.898694,8.305228,8.042786,55.653549,56.130316
1900-01-01 13:36:40.899757,8.321428,8.055746,55.65578,56.131647
1900-01-01 13:36:41.900825,8.295508,8.026586,55.657825,56.131443
1900-01-01 13:36:42.901834,8.298748,8.033066,55.657622,56.131465
1900-01-01 13:36:43.901811,8.301988,8.029826,55.656467,56.13863
1900-01-01 13:36:44.902546,8.301988,8.039546,55.659665,56.136656
1900-01-01 13:36:45.903765,8.298748,8.010386,55.664826,56.14204
1900-01-01 13:36:46.904978,8.289028,8.052506,55.659998,56.137663
1900-01-01 13:36:47.904979,8.308468,8.029826,55.659512,56.136952
1900-01-01 13:36:48.904830,8.295508,8.049266,55.651652,56.130893
1900-01-01 13:36:49.904902,8.308468,8.052506,55.65304,56.129358
1900-01-01 13:36:50.905984,8.305228,8.065466,55.655843,56.134184
1900-01-01 13:36:51.906684,8.327908,8.052506,55.654543,56.138955
1900-01-01 13:36:52.906752,8.318188,8.052506,55.658547,56.140035
1900-01-01 13:36:53.908758,8.314948,8.020106,55.656162,56.136302
1900-01-01 13:36:54.909082,8.289028,8.049266,55.657175,56.139787
1900-01-01 13:36:55.909149,8.292268,8.046026,55.658491,56.136382
1900-01-01 13:36:56.909282,8.305228,8.029826,55.657136,56.134802
1900-01-01 13:36:57.909151,8.295508,8.055746,55.656496,56.137535
1900-01-01 13:36:58.909219,8.314948,8.052506,55.66023,56.139244
1900-01-01 13:36:59.909253,8.305228,8.052506,55.661463,56.139802
1900-01-01 13:37:00.909189,8.292268,8.062226,55.663534,56.1376
1900-01-01 13:37:01.909325,8.295508,8.042786,55.656038,56.133929
1900-01-01 13:37:02.909410,8.292268,8.039546,55.658727,56.136842
1900-01-01 13:37:03.909315,8.318188,8.033066,55.660279,56.139068
1900-01-01 13:37:04.909453,8.289028,8.039546,55.660555,56.135521
1900-01-01 13:37:05.909312,8.292268,8.052506,55.6563,56.136214
1900-01-01 13:37:06.909414,8.305228,8.058986,55.65576,56.131852
1900-01-01 13:37:07.909469,8.314948,8.036306,55.654359,56.138097
1900-01-01 13:37:08.909579,8.305228,8.055746,55.657715,56.135155
1900-01-01 13:37:09.909487,8.285788,8.033066,55.651501,56.128943
1900-01-01 13:37:10.910648,8.289028,8.033066,55.652695,56.131261
1900-01-01 13:37:11.911160,8.301988,8.033066,55.65239,56.133205
1900-01-01 13:37:12.911204,8.301988,8.033066,55.651748,56.132788
1900-01-01 13:37:13.911347,8.305228,8.075186,55.654584,56.1327
