t,S5 ref T,S5 air 1 T,S5 air 2 T,S5 mix T,S6 ref T,S6 air 1 T,S6 air 2 T,S6 mix T,S5 ref P,S5 mix P,S6 ref P,S6 mix P
42.075886,21.962418,21.954203,21.967848,21.959874,21.853819,22.001505,22.043707,21.866662,15.407372,15.287467,14.490255,14.551829
43.076574,21.956337,21.948453,21.954929,21.933671,21.846450,22.003056,22.025007,21.858036,15.365243,15.319874,14.487015,14.551829
44.076207,21.961809,21.952701,21.953857,21.953251,21.854168,21.993726,22.033417,21.871372,15.384688,15.319874,14.474052,14.558310
45.075864,21.955599,21.947832,21.961940,21.943803,21.854156,21.984278,22.022767,21.860767,15.407372,15.306911,14.490255,14.561551
46.076525,21.959279,21.958831,21.963225,21.951415,21.859142,22.008542,22.031915,21.873468,15.365243,15.316633,14.470811,14.555069
47.076182,21.949621,21.942529,21.956638,21.941757,21.855098,21.996571,22.024172,21.863347,15.384688,15.336077,14.477293,14.551829
48.075840,21.968612,21.955031,21.967289,21.949647,21.856498,21.998910,22.037597,21.875401,15.368484,15.319874,14.454608,14.532384
49.076504,21.953614,21.947237,21.955101,21.951764,21.856105,22.001258,22.031886,21.868265,15.394410,15.332836,14.467571,14.545347
50.076159,21.964789,21.958049,21.958974,21.943048,21.856972,22.004338,22.027433,21.869495,15.404132,15.306911,14.467571,14.542107
51.076821,21.953895,21.943571,21.956755,21.943487,21.855215,21.981649,22.028452,21.867158,15.397650,15.323114,14.490255,14.548588
52.076479,21.949444,21.944605,21.954087,21.950832,21.850928,21.976274,22.016533,21.865021,15.391169,15.300429,14.477293,14.542107
53.076141,21.964420,21.957153,21.966173,21.942910,21.859083,21.995643,22.030237,21.874215,15.381447,15.336077,14.470811,14.545347
54.076800,21.959091,21.949924,21.945298,21.936193,21.850697,21.992165,22.014914,21.865185,15.384688,15.339318,14.477293,14.551829
55.076457,21.954269,21.947266,21.957905,21.939698,21.853358,21.993356,22.016650,21.872622,15.378206,15.306911,14.490255,14.548588
56.076115,21.950267,21.946285,21.956924,21.936852,21.860704,21.989585,22.028158,21.860986,15.387928,15.310151,14.474052,14.542107
57.076777,21.952097,21.941960,21.952368,21.940763,21.851985,21.986327,22.020828,21.866286,15.404132,15.332836,14.480533,14.564791
58.077464,21.951414,21.954763,21.962627,21.952571,21.852529,22.004841,22.020447,21.875087,15.391169,15.310151,14.487015,14.558310
59.077095,21.949289,21.940218,21.948082,21.933330,21.841915,21.985601,22.015848,21.860933,15.387928,15.336077,14.474052,14.551829
60.077758,21.956251,21.947005,21.964583,21.941217,21.859111,21.997651,22.027722,21.872984,15.397650,15.339318,14.493496,14.558310
61.077414,21.936489,21.943641,21.944797,21.929319,21.848345,21.976964,22.008863,21.857153,15.397650,15.313392,14.490255,14.548588
62.077072,21.958461,21.948407,21.957890,21.943196,21.855194,21.998242,22.018485,21.857847,15.371725,15.316633,14.477293,14.558310
63.077736,21.958429,21.946697,21.953173,21.939926,21.854409,21.993815,22.027414,21.867992,15.394410,15.310151,14.477293,14.561551
64.078394,21.951259,21.935700,21.954897,21.942007,21.859834,21.990346,22.024050,21.860822,15.368484,15.342558,14.490255,14.548588
65.078082,21.952532,21.951369,21.956920,21.941893,21.852605,21.986531,22.031855,21.876205,15.358762,15.303670,14.477293,14.538866
66.078713,21.954663,21.943195,21.948052,21.936623,21.852063,21.980799,22.013505,21.870240,15.400891,15.339318,14.474052,14.558310
67.078371,21.953390,21.940455,21.951094,21.936968,21.865977,21.987851,22.018860,21.866191,15.378206,15.323114,14.480533,14.542107
68.078030,21.962018,21.962913,21.970083,21.952304,21.863687,21.998792,22.025127,21.869731,15.400891,15.332836,14.467571,14.542107
69.079693,21.946270,21.944401,21.952496,21.935399,21.853963,21.989751,22.018874,21.873411,15.368484,15.339318,14.474052,14.555069
70.079354,21.958261,21.951492,21.958199,21.936983,21.868225,21.996886,22.020182,21.869906,15.404132,15.326355,14.503218,14.561551
71.079010,21.953152,21.939720,21.949202,21.926785,21.853676,21.987614,22.016737,21.861327,15.417094,15.332836,14.457848,14.532384
72.079671,21.967053,21.952889,21.966766,21.942768,21.869853,22.003364,22.033143,21.875460,15.378206,15.349040,14.474052,14.538866
73.079328,21.955061,21.943525,21.951852,21.937715,21.854475,21.987441,22.018923,21.866937,15.374965,15.336077,14.503218,14.568032
74.078988,21.961678,21.949079,21.955324,21.935542,21.860492,21.996833,22.015226,21.873323,15.368484,15.319874,14.490255,14.571273
75.079647,21.959160,21.939017,21.954513,21.939269,21.855749,21.995240,22.019734,21.866641,15.413854,15.326355,14.499977,14.545347
76.079307,21.951191,21.946119,21.951670,21.929218,21.861001,21.982414,22.018048,21.862372,15.404132,15.326355,14.493496,14.548588
77.078966,21.952891,21.939251,21.939482,21.933001,21.847656,21.990822,22.011180,21.856903,15.371725,15.313392,14.477293,14.551829
78.079626,21.954118,21.936697,21.949881,21.926595,21.848572,21.988348,22.010014,21.864375,15.378206,15.310151,14.464330,14.551829
79.079285,21.952593,21.944389,21.943695,21.931314,21.861352,21.985435,22.023024,21.879272,15.394410,15.323114,14.483774,14.558310
80.078943,21.952721,21.950077,21.964186,21.946014,21.861028,21.999441,22.029638,21.874312,15.378206,15.316633,14.490255,14.558310
81.079603,21.941262,21.928233,21.948587,21.914201,21.843345,21.969248,22.016815,21.855450,15.371725,15.303670,14.493496,14.558310
82.079293,21.952642,21.947339,21.957747,21.935527,21.858984,21.988491,22.028519,21.872151,15.368484,15.352281,14.487015,14.558310
83.078920,21.960752,21.963055,21.963980,21.947568,21.866836,21.994982,22.025038,21.877717,15.404132,15.323114,14.477293,14.564791
84.079582,21.947372,21.933245,21.951748,21.922393,21.850902,21.985997,22.023214,21.866881,15.410613,15.319874,14.499977,14.571273
85.079241,21.958383,21.949204,21.949435,21.936411,21.864549,21.993307,22.027377,21.869797,15.378206,15.329596,14.490255,14.548588
86.078897,21.950751,21.943504,21.949749,21.929472,21.847283,21.984981,22.011501,21.871878,15.371725,15.319874,14.493496,14.571273
87.079559,21.963694,21.952779,21.958330,21.932007,21.864886,21.994685,22.020544,21.871407,15.368484,15.329596,14.503218,14.564791
88.079217,21.943384,21.926748,21.941551,21.920949,21.848800,21.974146,22.010242,21.850865,15.407372,15.352281,14.506459,14.584236
