t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
47.700227,55.148419,57.702704,59.186830,56.243219,55.168892,58.440361,58.545250,55.864842,6.307270,12.360476,7.972873,8.296920
48.699733,55.122940,57.694110,59.165979,56.218741,55.139139,58.420402,58.534725,55.853316,6.291067,12.360476,7.943709,8.287199
49.700839,55.128872,57.689699,59.172984,56.226431,55.148445,58.411911,58.524214,55.859696,6.300789,12.350755,7.966392,8.290439
50.701234,55.136416,57.689369,59.169087,56.228149,55.138891,58.419243,58.525256,55.849245,6.297548,12.366957,7.940468,8.283958
51.701174,55.143309,57.701421,59.185310,56.237201,55.157258,58.421771,58.530255,55.865356,6.297548,12.379919,7.966392,8.300161
52.701879,55.117630,57.669484,59.153684,56.223293,55.153402,58.420681,58.513218,55.850932,6.310510,12.373438,7.979354,8.303401
53.702335,55.132885,57.690561,59.163048,56.225250,55.149309,58.421288,58.518767,55.851113,6.304029,12.399362,7.956671,8.283958
54.702249,55.132681,57.683617,59.155010,56.218100,55.137180,58.413023,58.517913,55.848435,6.278105,12.383159,7.963152,8.290439
55.702122,55.149273,57.687830,59.174350,56.233420,55.154898,58.435290,58.512104,55.861648,6.281346,12.370197,7.963152,8.293680
56.702070,55.129760,57.680250,59.171126,56.230866,55.149558,58.407582,58.516291,55.854511,6.291067,12.392881,7.943709,8.296920
57.702135,55.136115,57.691764,59.170535,56.240842,55.148714,58.420467,58.532095,55.857490,6.294308,12.399362,7.940468,8.290439
58.701727,55.137648,57.705429,59.170881,56.238490,55.153847,58.409582,58.509981,55.860372,6.284586,12.396121,7.940468,8.287199
59.702299,55.127280,57.687884,59.170837,56.226754,55.150453,58.404597,58.511510,55.849783,6.297548,12.396121,7.946949,8.287199
60.702169,55.142023,57.699912,59.167502,56.229710,55.144498,58.404181,58.520077,55.869693,6.281346,12.428526,7.946949,8.280718
61.702231,55.138493,57.694140,59.175430,56.232928,55.153117,58.404251,58.511837,55.847948,6.287827,12.418805,7.966392,8.287199
62.701683,55.139923,57.700961,59.165657,56.235733,55.150722,58.405256,58.526093,55.861747,6.304029,12.418805,7.953430,8.283958
63.702083,55.132344,57.689796,59.162473,56.227372,55.150792,58.399375,58.507410,55.853271,6.278105,12.438247,7.933987,8.283958
64.701759,55.135665,57.692663,59.176525,56.235598,55.155913,58.408491,58.514055,55.863337,6.294308,12.409083,7.940468,8.277478
65.702355,55.132410,57.686716,59.166779,56.240229,55.150183,58.403234,58.505429,55.849063,6.278105,12.415564,7.959911,8.309882
66.702758,55.131580,57.690830,59.173122,56.234438,55.150253,58.407107,58.509977,55.859703,6.271624,12.405843,7.950190,8.309882
67.703577,55.130137,57.693658,59.166828,56.231509,55.150835,58.407775,58.504355,55.851739,6.274865,12.428526,7.956671,8.287199
68.704123,55.134593,57.691143,59.167909,56.226970,55.143367,58.396727,58.499822,55.849896,6.265143,12.425286,7.959911,8.293680
69.704406,55.128064,57.692711,59.173930,56.242668,55.155286,58.403873,58.501577,55.857088,6.284586,12.441488,7.959911,8.287199
70.704128,55.137469,57.692218,59.168786,56.238641,55.154793,58.413327,58.502945,55.859294,6.271624,12.418805,7.924266,8.287199
71.704874,55.132001,57.705631,59.177800,56.244070,55.151125,58.413585,58.501181,55.858326,6.248941,12.435007,7.963152,8.287199
72.706284,55.136445,57.695689,59.183146,56.243352,55.155343,58.406803,58.503383,55.860294,6.271624,12.438247,7.937228,8.287199
73.705778,55.145803,57.701889,59.176654,56.247645,55.155927,58.402780,58.501158,55.856829,6.271624,12.428526,7.937228,8.287199
74.706503,55.128434,57.695777,59.174728,56.240994,55.149132,58.407367,58.498332,55.847563,6.278105,12.438247,7.966392,8.300161
75.706285,55.135517,57.695662,59.173576,56.243213,55.151491,58.399926,58.494036,55.856668,6.274865,12.470652,7.976113,8.293680
76.706419,55.132388,57.676808,59.175729,56.242446,55.151736,58.407245,58.501355,55.850391,6.287827,12.444728,7.956671,8.290439
77.706256,55.129707,57.690308,59.167678,56.244952,55.147480,58.399641,58.496671,55.851984,6.268384,12.451209,7.946949,8.283958
78.706177,55.136739,57.691264,59.173998,56.245884,55.156987,58.392036,58.501420,55.860138,6.284586,12.425286,7.959911,8.277478
79.706369,55.141145,57.697911,59.175612,56.247725,55.159593,58.394775,58.491356,55.855547,6.271624,12.441488,7.946949,8.270997
80.706437,55.142076,57.699740,59.177130,56.247447,55.162774,58.396069,58.505227,55.860975,6.281346,12.425286,7.953430,8.290439
81.705728,55.133448,57.698538,59.169292,56.243195,55.155721,58.366215,58.487953,55.856173,6.287827,12.464171,7.956671,8.293680
82.707357,55.130269,57.694464,59.168626,56.242528,55.155917,58.376331,58.491780,55.856819,6.281346,12.422045,7.956671,8.300161
83.707642,55.139835,57.691885,59.176491,56.247481,55.160309,58.374540,58.500545,55.860309,6.304029,12.444728,7.953430,8.300161
84.708569,55.141505,57.698046,59.179257,56.252949,55.164003,58.377307,58.502863,55.861529,6.284586,12.435007,7.982594,8.290439
85.707793,55.141414,57.694136,59.170395,56.254643,55.161212,58.382817,58.503207,55.859863,6.294308,12.428526,7.969632,8.300161
86.708450,55.141719,57.704327,59.175829,56.247043,55.163767,58.372305,58.507294,55.862642,6.294308,12.444728,7.972873,8.290439
87.708407,55.143665,57.699080,59.180126,56.262138,55.164138,58.362902,58.511368,55.850869,6.304029,12.435007,7.992316,8.283958
88.707988,55.139510,57.698975,59.171364,56.248868,55.162233,58.356833,58.500133,55.854137,6.287827,12.451209,7.976113,8.290439
89.709024,55.134806,57.691356,59.177062,56.239059,55.161129,58.351527,58.491234,55.853933,6.313750,12.460931,7.969632,8.300161
90.709116,55.139450,57.700937,59.171506,56.254406,55.171397,58.371126,58.493088,55.856775,6.291067,12.457690,7.985835,8.290439
91.709503,55.135782,57.704463,59.168519,56.255912,55.154680,58.359827,58.491447,55.851984,6.297548,12.451209,7.979354,8.296920
