t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
47.711760,55.149314,57.689443,59.151465,56.343835,55.215682,58.266395,58.353548,55.849769,6.313750,12.567867,8.057125,8.264516
48.712100,55.150509,57.700748,59.171506,56.353111,55.222951,58.279705,58.358547,55.863558,6.313750,12.561386,8.063606,8.274237
49.712478,55.148542,57.692716,59.161673,56.350011,55.222334,58.281774,58.348711,55.866989,6.313750,12.603512,8.050644,8.267756
50.711667,55.147663,57.707117,59.166244,56.354812,55.211556,58.285448,58.351037,55.870608,6.316991,12.587309,8.060366,8.267756
51.711863,55.144635,57.704542,59.170222,56.352500,55.226526,58.273030,58.358610,55.860159,6.320231,12.564626,8.053885,8.270997
52.712406,55.144164,57.704521,59.160227,56.341817,55.209857,58.271791,58.347264,55.849343,6.329953,12.564626,8.057125,8.283958
53.711703,55.163497,57.707877,59.169389,56.358411,55.226715,58.285449,58.350365,55.864172,6.307270,12.587309,8.066847,8.277478
54.712441,55.146071,57.712043,59.165955,56.361268,55.219188,58.276848,58.356588,55.856872,6.313750,12.584069,8.063606,8.277478
55.711770,55.145851,57.695197,59.164527,56.354217,55.219869,58.277890,58.351566,55.854404,6.316991,12.571107,8.047404,8.270997
56.711790,55.145573,57.688852,59.173107,56.341899,55.216215,58.277937,58.356105,55.847603,6.316991,12.587309,8.083049,8.270997
57.712236,55.147331,57.688586,59.154592,56.345393,55.213924,58.269748,58.356227,55.848012,6.294308,12.584069,8.063606,8.258035
58.712434,55.158962,57.693910,59.170927,56.353656,55.212506,58.273960,58.363808,55.858963,6.304029,12.564626,8.053885,8.277478
59.711824,55.160658,57.700772,59.177286,56.360023,55.223651,58.282792,58.356467,55.861334,6.300789,12.564626,8.076568,8.261275
60.711753,55.137318,57.690045,59.160641,56.335937,55.212910,58.259851,58.348801,55.848572,6.313750,12.580828,8.066847,8.264516
61.712231,55.153450,57.704583,59.168009,56.357030,55.219818,58.279128,58.362461,55.858626,6.320231,12.584069,8.073328,8.283958
62.711788,55.151671,57.693594,59.179481,56.350530,55.231087,58.279597,58.358663,55.860446,6.323472,12.577588,8.063606,8.274237
63.711695,55.151877,57.694474,59.174786,56.349426,55.229268,58.282313,58.359358,55.866049,6.307270,12.587309,8.079809,8.270997
64.711755,55.145887,57.691188,59.163755,56.346474,55.221929,58.259822,58.353938,55.845893,6.304029,12.574347,8.050644,8.270997
65.713484,55.151317,57.700880,59.170186,56.355387,55.221060,58.267827,58.356328,55.858068,6.294308,12.587309,8.057125,8.267756
66.712811,55.147177,57.696296,59.164195,56.349164,55.212870,58.260038,58.355277,55.848532,6.294308,12.567867,8.066847,8.274237
67.713176,55.157395,57.704704,59.159426,56.349335,55.232537,58.268744,58.358592,55.858972,6.287827,12.606752,8.037682,8.267756
68.713501,55.147957,57.706287,59.172295,56.353227,55.227598,58.265445,58.361358,55.850886,6.307270,12.574347,8.057125,8.280718
69.712830,55.143500,57.703184,59.162100,56.336723,55.214143,58.255919,58.341500,55.840134,6.304029,12.567867,8.066847,8.264516
70.713156,55.152732,57.716449,59.171050,56.351081,55.230799,58.274083,58.359888,55.849812,6.300789,12.580828,8.047404,8.277478
71.713657,55.152676,57.707405,59.173565,56.358995,55.224218,58.279294,58.362179,55.856278,6.287827,12.584069,8.076568,8.264516
72.714192,55.135524,57.695219,59.162035,56.341155,55.208192,58.257427,58.340088,55.853751,6.294308,12.558145,8.053885,8.270997
73.715288,55.153520,57.705103,59.173035,56.354868,55.229787,58.266635,58.357157,55.862520,6.316991,12.597031,8.034442,8.264516
74.716124,55.137402,57.701813,59.167778,56.351177,55.216594,58.260702,58.352572,55.852255,6.268384,12.577588,8.040923,8.270997
75.716498,55.158709,57.701522,59.176380,56.361140,55.215628,58.263018,58.365444,55.853763,6.297548,12.587309,8.037682,8.264516
76.716701,55.146405,57.697547,59.160323,56.341913,55.217722,58.255714,58.362409,55.835616,6.278105,12.571107,8.037682,8.267756
77.716904,55.162488,57.726191,59.186638,56.370063,55.225930,58.281142,58.382220,55.869235,6.287827,12.609993,8.076568,8.261275
78.717326,55.150621,57.717936,59.167872,56.360714,55.231837,58.271802,58.385908,55.856923,6.323472,12.584069,8.086290,8.251554
79.717367,55.148716,57.699406,59.162629,56.340176,55.220933,58.268354,58.370556,55.847597,6.291067,12.564626,8.037682,8.248313
80.718166,55.155174,57.711473,59.172292,56.358171,55.230541,58.282514,58.375955,55.859000,6.304029,12.561386,8.063606,8.267756
81.718542,55.143009,57.702918,59.167111,56.359278,55.232099,58.280925,58.376388,55.852687,6.316991,12.571107,8.063606,8.277478
82.719502,55.168402,57.720639,59.179145,56.365932,55.241069,58.302173,58.376297,55.866601,6.307270,12.577588,8.066847,8.258035
83.719479,55.143888,57.698628,59.160505,56.353112,55.224204,58.288691,58.354056,55.842995,6.294308,12.606752,8.070087,8.274237
84.718716,55.145582,57.699197,59.176928,56.364162,55.237372,58.289398,58.365319,55.861331,6.304029,12.600271,8.066847,8.264516
85.719631,55.148280,57.694701,59.168843,56.359214,55.221847,58.274571,58.351166,55.848285,6.300789,12.597031,8.076568,8.287199
86.719997,55.148061,57.695606,59.172890,56.362592,55.224552,58.283786,58.354092,55.858861,6.313750,12.603512,8.099251,8.277478
87.721619,55.157206,57.699572,59.171065,56.358066,55.227623,58.277467,58.361251,55.846413,6.310510,12.577588,8.079809,8.274237
88.721070,55.146950,57.698990,59.166296,56.355764,55.221867,58.271798,58.353560,55.850329,6.326712,12.574347,8.102492,8.261275
89.721450,55.158147,57.699613,59.181859,56.368874,55.229914,58.285570,58.360593,55.854550,6.326712,12.577588,8.089530,8.261275
90.721338,55.146830,57.704937,59.164829,56.355194,55.230070,58.273026,58.360179,55.856056,6.320231,12.584069,8.073328,8.270997
91.721783,55.148588,57.694110,59.174766,56.354128,55.221705,58.268816,58.360236,55.853316,6.300789,12.567867,8.076568,8.280718
92.722534,55.150895,57.683832,59.162112,56.359218,55.230312,58.276148,58.353866,55.841229,6.326712,12.587309,8.092771,8.261275
93.721743,55.151566,57.699556,59.169194,56.359340,55.232332,58.279189,58.352865,55.859891,6.326712,12.580828,8.079809,8.277478
94.723449,55.152414,57.703324,59.173095,56.361673,55.236105,58.276803,58.365078,55.860964,6.313750,12.587309,8.079809,8.258035
95.722827,55.149609,57.686817,59.171593,56.357471,55.232850,58.272155,58.351222,55.854112,6.313750,12.600271,8.099251,8.264516
96.723187,55.149417,57.690445,59.171300,56.353355,55.227033,58.282420,58.364630,55.857518,6.326712,12.613233,8.076568,8.274237
97.722674,55.143949,57.686107,59.158213,56.343398,55.218866,58.256299,58.348619,55.838334,6.310510,12.600271,8.057125,8.264516
98.724517,55.160282,57.698599,59.168163,56.366626,55.230249,58.287592,58.369802,55.860283,6.310510,12.590550,8.076568,8.264516
99.725040,55.157677,57.700491,59.167209,56.358926,55.245866,58.286413,58.373340,55.858803,6.300789,12.590550,8.053885,8.274237
100.725466,55.154686,57.710536,59.170525,56.364046,55.239501,58.293549,58.366101,55.856263,6.287827,12.616474,8.066847,8.264516
