t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
0.984307,21.840340,21.961309,21.956149,21.855072,21.937486,22.097226,22.073637,22.013578,14.632050,14.547798,14.790834,14.829719
1.983521,21.828417,21.951931,21.939127,21.846144,21.928571,22.083443,22.061242,22.012296,14.635291,14.554279,14.800555,14.819998
2.983598,21.832235,21.949504,21.940875,21.845117,21.931001,22.079872,22.058827,22.001774,14.645012,14.554279,14.794074,14.832960
3.983550,21.839115,21.954996,21.950809,21.854820,21.931405,22.090730,22.061590,22.022762,14.638531,14.576962,14.797315,14.826479
4.983920,21.829784,21.942890,21.943928,21.836374,21.918605,22.082925,22.051936,21.997936,14.625569,14.564000,14.807036,14.832960
5.984055,21.828674,21.945019,21.938357,21.836353,21.924434,22.084292,22.054690,21.997751,14.661214,14.564000,14.790834,14.826479
6.984263,21.828905,21.948951,21.948059,21.835879,21.933917,22.072948,22.054910,22.014403,14.635291,14.573722,14.800555,14.823238
7.984467,21.831660,21.931352,21.945655,21.838332,21.921869,22.071470,22.055744,21.994493,14.622329,14.547798,14.794074,14.816757
8.984534,21.826803,21.935746,21.940254,21.843570,21.936440,22.085726,22.057050,22.014151,14.628810,14.557519,14.777872,14.839441
9.985047,21.833200,21.929653,21.937838,21.834446,21.921327,22.089324,22.050471,22.000427,14.635291,14.544557,14.777872,14.836200
10.984504,21.832058,21.932906,21.939135,21.847772,21.927586,22.076514,22.049687,22.006917,14.622329,14.541317,14.771391,14.832960
11.984931,21.839586,21.928637,21.948132,21.851449,21.930025,22.085741,22.059608,22.007506,14.664455,14.541317,14.810276,14.839441
12.984979,21.827675,21.941475,21.946688,21.846304,21.927367,22.091004,22.054927,22.004385,14.648253,14.544557,14.800555,14.839441
13.984976,21.831572,21.943291,21.951824,21.840106,21.923168,22.097526,22.055667,21.996024,14.664455,14.551038,14.823238,14.832960
14.984893,21.838526,21.935904,21.950506,21.848966,21.935904,22.087883,22.062444,22.002051,14.641772,14.551038,14.807036,14.842681
15.984905,21.825930,21.941581,21.958949,21.848158,21.934179,22.097250,22.058630,22.007728,14.638531,14.541317,14.810276,14.852403
16.984898,21.841442,21.941595,21.949953,21.852807,21.932343,22.091492,22.060966,22.016068,14.628810,14.557519,14.816757,14.836200
17.984447,21.822717,21.942763,21.943640,21.844413,21.925648,22.085875,22.055810,22.004747,14.654734,14.541317,14.826479,14.832960
18.985026,21.839477,21.933154,21.939050,21.848611,21.926678,22.083597,22.058621,21.996758,14.628810,14.541317,14.836200,14.826479
19.984921,21.831671,21.935988,21.942923,21.851097,21.926968,22.085851,22.053706,22.009074,14.641772,14.547798,14.826479,14.836200
20.984993,21.832956,21.932879,21.934192,21.851156,21.917151,22.082441,22.063246,22.005271,14.664455,14.551038,14.832960,14.836200
21.985003,21.835445,21.936755,21.948280,21.850441,21.931898,22.084270,22.057675,22.008684,14.651493,14.570481,14.810276,14.845922
22.984979,21.828101,21.934963,21.942879,21.859380,21.928024,22.083957,22.055512,22.006661,14.657974,14.551038,14.807036,14.836200
23.984896,21.828113,21.928499,21.936060,21.842614,21.926648,22.075982,22.052625,21.993028,14.657974,14.544557,14.836200,14.849162
24.985110,21.834821,21.940988,21.959025,21.856329,21.930580,22.094320,22.062174,22.010605,14.661214,14.567241,14.803795,14.849162
25.984913,21.834997,21.937232,21.953764,21.844822,21.928443,22.086978,22.055295,21.994591,14.664455,14.547798,14.819998,14.829719
26.984584,21.835436,21.942297,21.937726,21.846131,21.926107,22.067704,22.048971,22.010294,14.638531,14.531595,14.803795,14.842681
27.985301,21.820310,21.937118,21.943221,21.840755,21.924165,22.075973,22.051922,22.006734,14.654734,14.534836,14.829719,14.829719
28.984995,21.838780,21.925518,21.950701,21.834820,21.934307,22.080678,22.052464,22.011325,14.677417,14.547798,14.816757,14.823238
29.984969,21.823132,21.927681,21.939927,21.841161,21.922824,22.079618,22.048166,21.999380,14.641772,14.554279,14.819998,14.839441
30.984929,21.819006,21.930263,21.934815,21.846227,21.921474,22.082370,22.050918,21.996874,14.657974,14.557519,14.813517,14.832960
31.984880,21.836808,21.939737,21.950150,21.860176,21.932567,22.072264,22.060932,22.012129,14.661214,14.547798,14.823238,14.829719
32.984980,21.837871,21.939181,21.947665,21.846587,21.930623,22.085042,22.052203,22.008104,14.645012,14.560760,14.816757,14.852403
33.984913,21.831002,21.925836,21.935860,21.842877,21.923755,22.068845,22.053119,21.992447,14.664455,14.541317,14.816757,14.819998
34.984927,21.831535,21.932845,21.941630,21.843096,21.918274,22.087796,22.054494,22.007550,14.677417,14.551038,14.803795,14.826479
35.985078,21.828449,21.948031,21.949123,21.856141,21.934617,22.094825,22.061755,22.012790,14.651493,14.564000,14.797315,14.836200
36.984916,21.838073,21.932444,21.948604,21.846832,21.933832,22.093151,22.059155,22.009693,14.628810,14.534836,14.810276,14.836200
37.986177,21.833031,21.932260,21.945076,21.850012,21.924627,22.075747,22.059096,22.008121,14.641772,14.554279,14.813517,14.823238
38.986056,21.832914,21.921272,21.933772,21.852585,21.924741,22.079939,22.060975,22.013092,14.648253,14.560760,14.826479,14.832960
39.986000,21.830603,21.924975,21.935575,21.846525,21.922893,22.075961,22.056997,22.002918,14.664455,14.560760,14.807036,14.836200
40.986372,21.828662,21.923265,21.940143,21.839064,21.920952,22.076133,22.048150,21.997277,14.657974,14.544557,14.816757,14.829719
41.987230,21.826580,21.922340,21.942549,21.835688,21.921415,22.071833,22.048475,22.000746,14.657974,14.567241,14.807036,14.845922
42.986582,21.834688,21.919345,21.946194,21.837945,21.929290,22.076634,22.054432,22.005615,14.664455,14.544557,14.832960,14.842681
43.987259,21.837847,21.920653,21.953619,21.852773,21.936150,22.081976,22.060931,22.010623,14.657974,14.557519,14.813517,14.842681
44.987952,21.826884,21.923801,21.943222,21.843301,21.933746,22.089157,22.050767,22.019321,14.651493,14.544557,14.810276,14.842681
45.989166,21.845793,21.932763,21.952855,21.849464,21.937620,22.087919,22.068724,22.014637,14.664455,14.557519,14.826479,14.839441
46.989225,21.834983,21.921259,21.946012,21.841696,21.926347,22.085009,22.056563,22.002903,14.651493,14.554279,14.832960,14.849162
47.989199,21.841088,21.934765,21.957427,21.852418,21.938003,22.091103,22.062195,22.010626,5.860084,14.544557,14.826479,14.836200
48.989258,21.835446,21.934674,21.941134,21.840981,21.930279,22.087532,22.052611,22.008222,5.675377,5.886008,14.823238,14.839441
49.989184,21.833908,21.944701,21.959383,21.851135,21.925273,22.067851,22.054900,22.009923,2.927456,2.917735,14.832960,14.842681
50.989238,21.833609,21.953654,21.944893,21.841965,21.926824,22.076490,22.052438,22.004768,2.046048,2.049288,14.823238,14.826479
51.988607,21.814527,21.944751,21.942534,21.828502,21.917458,22.077830,22.050310,22.004885,1.653951,1.660432,14.829719,14.845922
52.989045,21.841682,21.965658,21.970048,21.843066,21.933046,22.094935,22.071577,22.015614,1.491927,1.466003,14.823238,14.823238
53.989272,21.828421,21.962112,21.950318,21.830505,21.929500,22.077751,22.060638,21.997036,1.410915,1.365549,14.807036,14.832960
54.989285,21.820776,21.958168,21.956390,21.827093,21.919774,22.083129,22.057921,22.005581,1.349346,1.326663,14.816757,14.845922
55.989275,21.820152,21.958701,21.960208,21.813794,21.936035,22.083014,22.066363,22.000101,1.323422,1.326663,14.803795,14.832960
56.989217,21.826306,21.961154,21.956405,21.805133,21.928311,22.076899,22.062792,22.010417,1.316941,1.287777,14.826479,14.845922
57.990276,21.829510,21.962507,21.959019,21.801039,21.937528,22.090614,22.065868,22.009688,1.294258,1.255373,14.832960,14.849162
58.989445,21.826052,21.962519,21.960500,21.787254,21.924356,22.081688,22.056943,21.996517,1.274815,1.252132,14.845922,14.845922
59.991269,21.811180,21.950193,21.968551,21.775181,21.924057,22.078175,22.065687,21.995525,1.252132,1.222968,14.813517,14.823238
60.990590,21.816477,21.955258,21.958398,21.776592,21.932129,22.086755,22.065016,22.008915,1.268334,1.210006,14.845922,14.826479
61.991510,21.814225,21.955319,21.961337,21.743676,21.926870,22.087844,22.058705,22.002963,1.271575,1.213246,14.842681,14.836200
62.992415,21.809344,21.956915,21.965175,21.747515,21.935405,22.089832,22.063699,22.007797,1.245651,1.216487,14.816757,14.836200
63.993564,21.796484,21.946831,21.959847,21.735708,21.928791,22.077334,22.060915,22.010203,1.229449,1.219727,14.832960,14.829719
64.993458,21.799561,21.947133,21.954966,21.728282,21.926085,22.074767,22.065517,21.997090,1.232689,1.206765,14.819998,14.849162
65.993601,21.804931,21.962447,21.962935,21.742267,21.938162,22.100774,22.077185,22.010785,1.219727,1.222968,14.803795,14.836200
66.994037,21.800963,21.956168,21.972801,21.734091,21.925637,22.093294,22.084275,22.014682,1.226208,1.177601,14.823238,14.829719
